name,date,market_cap,volume,open,close
Bitcoin,2019-09-20,"
$183,793,185,093
","
$23,532,550,738
","
$10,253.23
","
$10,178.44
"
Bitcoin,2019-09-19,"
$182,304,851,002
","
$18,848,349,198
","
$10,158.85
","
$10,253.23
"
Bitcoin,2019-09-18,"
$183,148,194,810
","
$17,279,102,873
","
$10,203.07
","
$10,158.85
"
Bitcoin,2019-09-17,"
$184,216,635,305
","
$17,580,630,288
","
$10,268.42
","
$10,203.07
"
Bitcoin,2019-09-16,"
$184,860,740,268
","
$13,781,855,194
","
$10,305.68
","
$10,268.42
"
Bitcoin,2019-09-15,"
$185,709,926,005
","
$16,529,697,331
","
$10,349.55
","
$10,305.68
"
Bitcoin,2019-09-14,"
$185,791,118,117
","
$16,650,634,276
","
$10,355.63
","
$10,349.55
"
Bitcoin,2019-09-13,"
$186,490,286,819
","
$17,986,804,177
","
$10,401.32
","
$10,355.63
"
Bitcoin,2019-09-12,"
$182,006,412,816
","
$19,989,784,061
","
$10,150.71
","
$10,401.32
"
Bitcoin,2019-09-11,"
$181,228,983,505
","
$17,425,806,761
","
$10,121.10
","
$10,150.71
"
Bitcoin,2019-09-10,"
$185,101,736,449
","
$21,012,460,994
","
$10,321.93
","
$10,121.10
"
Bitcoin,2019-09-09,"
$186,487,925,900
","
$16,804,085,431
","
$10,404.33
","
$10,321.93
"
Bitcoin,2019-09-08,"
$187,490,153,206
","
$18,658,457,494
","
$10,461.55
","
$10,404.33
"
Bitcoin,2019-09-07,"
$185,513,074,362
","
$23,555,216,964
","
$10,350.75
","
$10,461.55
"
Bitcoin,2019-09-06,"
$189,354,988,380
","
$18,952,591,605
","
$10,570.25
","
$10,350.75
"
Bitcoin,2019-09-05,"
$189,378,108,189
","
$21,198,071,665
","
$10,573.52
","
$10,570.25
"
Bitcoin,2019-09-04,"
$190,297,653,629
","
$23,588,848,898
","
$10,620.17
","
$10,573.52
"
Bitcoin,2019-09-03,"
$184,367,332,386
","
$20,258,697,359
","
$10,323.02
","
$10,620.17
"
Bitcoin,2019-09-02,"
$174,169,160,999
","
$15,003,447,441
","
$9,729.27
","
$10,323.02
"
