date,name,market_cap,perc_market_cap,volume,perc_volume,open,perc_open,close,perc_close,gain_loss,time_stamps
2019-03-05,Bitcoin,65238057882.0,-0.02463,3608196681.0,-0.46543,3712.81,-0.02473,3852.46,0.03761,139.65,2021-12-07
2019-03-04,Bitcoin,66885712070.0,-0.00322,6749676087.0,1.05092,3806.95,-0.00332,3712.81,-0.02473,-94.14,2021-12-07
2019-03-03,Bitcoin,67101767699.0,0.00024,3291046239.0,-0.40432,3819.65,0.00102,3806.95,-0.00332,-12.7,2021-12-07
2019-03-02,Bitcoin,67085713234.0,0.00103,5524886886.0,-0.27569,3815.75,4e-05,3819.65,0.00102,3.9,2021-12-07
2019-03-01,Bitcoin,67016664287.0,-0.00207,7627783001.0,-0.01337,3815.61,0.00058,3815.75,4e-05,0.14,2021-12-07
2019-02-28,Bitcoin,67155912259.0,0.00397,7731184276.0,1.58338,3813.38,0.00109,3815.61,0.00058,2.23,2021-12-07
2019-02-27,Bitcoin,66890485485.0,-0.00393,2992667601.0,-0.6693,3809.21,-0.00404,3813.38,0.00109,4.17,2021-12-07
2019-02-26,Bitcoin,67154603800.0,0.01582,9049456994.0,-0.18565,3824.68,0.02186,3809.21,-0.00404,-15.47,2021-12-07
2019-02-25,Bitcoin,66108588220.0,-0.08521,11112465191.0,0.30834,3742.87,-0.09051,3824.68,0.02186,81.81,2021-12-07
2019-02-24,Bitcoin,72266544792.0,0.0361,8493566415.0,0.41576,4115.34,0.03566,3742.87,-0.09051,-372.47,2021-12-07
2019-02-23,Bitcoin,69748877117.0,0.00998,5999302846.0,-0.12268,3973.64,0.00987,4115.34,0.03566,141.7,2021-12-07
2019-02-22,Bitcoin,69059468753.0,-0.01047,6838246918.0,0.07223,3934.81,-0.01056,3973.64,0.00987,38.83,2021-12-07
2019-02-21,Bitcoin,69790459106.0,0.01559,6377580055.0,0.06832,3976.81,0.01579,3934.81,-0.01056,-42.0,2021-12-07
2019-02-20,Bitcoin,68719418872.0,0.00839,5969708630.0,-0.37744,3915.01,0.00733,3976.81,0.01579,61.8,2021-12-07
2019-02-19,Bitcoin,68147457623.0,0.05846,9588927259.0,0.93896,3886.52,0.06042,3915.01,0.00733,28.49,2021-12-07
2019-02-18,Bitcoin,64383522064.0,0.01316,4945386865.0,0.23022,3665.08,0.01173,3886.52,0.06042,221.44,2021-12-07
2019-02-17,Bitcoin,63547140519.0,0.00604,4019925055.0,-0.10795,3622.59,0.00593,3665.08,0.01173,42.49,2021-12-07
2019-02-16,Bitcoin,63165603232.0,0.00276,4506367417.0,-0.62358,3601.23,0.00322,3622.59,0.00593,21.36,2021-12-07
