date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2019-05-14,61.37,62.34,60.85,62.02,62.02,723001.0,0.0038847523470380008,Oil,Yahoo Finance
2019-05-15,62.12,63.48,62.08,62.87,62.87,545679.0,0.013705256368913066,Oil,Yahoo Finance
2019-05-16,63.12,63.64,62.52,62.76,62.76,215802.0,-0.0017496421186575795,Oil,Yahoo Finance
2019-05-17,63.12,63.64,62.52,62.76,62.76,215802.0,0.0,Oil,Yahoo Finance
2019-05-18,63.12,63.64,62.52,62.76,62.76,215802.0,0.0,Oil,Yahoo Finance
2019-05-19,63.53,63.81,62.45,63.1,63.1,131888.0,0.005417463352453744,Oil,Yahoo Finance
2019-05-20,63.28,63.6,62.75,62.99,62.99,641680.0,-0.0017432646592709933,Oil,Yahoo Finance
2019-05-21,62.64,62.78,61.03,61.42,61.42,766728.0,-0.02492459120495316,Oil,Yahoo Finance
2019-05-22,61.27,61.29,57.33,57.91,57.91,1108052.0,-0.05714750895473797,Oil,Yahoo Finance
2019-05-23,58.21,59.1,57.5,58.63,58.63,758099.0,0.012433085822828538,Oil,Yahoo Finance
2019-05-24,58.21,59.1,57.5,58.63,58.63,758099.0,0.0,Oil,Yahoo Finance
2019-05-25,58.21,59.1,57.5,58.63,58.63,758099.0,0.0,Oil,Yahoo Finance
2019-05-26,58.21,59.1,57.5,58.63,58.63,758099.0,0.0,Oil,Yahoo Finance
2019-05-27,58.94,59.57,58.13,59.14,59.14,1020323.0,0.008698618454715978,Oil,Yahoo Finance
2019-05-28,59.07,59.14,56.88,58.81,58.81,1124959.0,-0.005579979709164684,Oil,Yahoo Finance
2019-05-29,59.12,59.7,56.33,56.59,56.59,842281.0,-0.0377486821969053,Oil,Yahoo Finance
2019-05-30,56.46,56.61,53.05,53.5,53.5,1031488.0,-0.05460328679978799,Oil,Yahoo Finance
2019-05-31,56.46,56.61,53.05,53.5,53.5,1031488.0,0.0,Oil,Yahoo Finance
2019-06-01,56.46,56.61,53.05,53.5,53.5,1031488.0,0.0,Oil,Yahoo Finance
