symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Feb 15, 2019",54.48,55.87,54.24,55.59,55.59,"276,907"
CL=F,"Feb 14, 2019",53.96,54.68,53.08,54.41,54.41,"623,546"
CL=F,"Feb 13, 2019",53.35,54.60,53.27,53.90,53.90,"706,552"
CL=F,"Feb 12, 2019",52.47,54.05,52.29,53.10,53.10,"708,312"
CL=F,"Feb 11, 2019",52.66,52.78,51.23,52.41,52.41,"750,242"
CL=F,"Feb 08, 2019",52.59,52.99,52.08,52.72,52.72,"621,003"
CL=F,"Feb 07, 2019",53.94,54.21,51.80,52.64,52.64,"749,010"
CL=F,"Feb 06, 2019",53.73,54.30,52.86,54.01,54.01,"606,720"
CL=F,"Feb 05, 2019",54.86,55.21,53.47,53.66,53.66,"609,756"
CL=F,"Feb 04, 2019",55.32,55.75,53.29,54.56,54.56,"622,472"
CL=F,"Feb 01, 2019",54.01,55.66,53.37,55.26,55.26,"689,566"
CL=F,"Jan 31, 2019",54.28,55.37,53.62,53.79,53.79,"718,650"
CL=F,"Jan 30, 2019",53.24,54.93,53.09,54.23,54.23,"731,312"
CL=F,"Jan 29, 2019",52.12,53.93,51.84,53.31,53.31,"660,527"
CL=F,"Jan 28, 2019",53.56,53.64,51.33,51.99,51.99,"650,667"
CL=F,"Jan 25, 2019",53.17,53.94,52.91,53.69,53.69,"593,385"
CL=F,"Jan 24, 2019",52.45,53.47,52.07,53.13,53.13,"714,415"
CL=F,"Jan 23, 2019",52.95,53.64,51.86,52.62,52.62,"702,866"
CL=F,"Jan 22, 2019",53.73,54.24,51.80,52.57,52.57,"951,158"
CL=F,"Jan 18, 2019",52.23,53.92,52.09,53.80,53.80,"193,099"
CL=F,"Jan 17, 2019",52.30,52.58,50.98,52.07,52.07,"288,560"
CL=F,"Jan 16, 2019",52.00,52.52,51.26,52.31,52.31,"694,182"
CL=F,"Jan 15, 2019",50.78,52.30,50.64,52.11,52.11,"664,183"
CL=F,"Jan 14, 2019",51.73,52.11,50.38,50.51,50.51,"791,527"
CL=F,"Jan 11, 2019",52.28,53.31,51.18,51.59,51.59,"812,339"
CL=F,"Jan 10, 2019",52.18,52.78,51.37,52.59,52.59,"821,782"
CL=F,"Jan 09, 2019",49.80,52.58,49.71,52.36,52.36,"891,922"
CL=F,"Jan 08, 2019",48.73,49.95,48.31,49.78,49.78,"765,981"
CL=F,"Jan 07, 2019",48.30,49.79,48.11,48.52,48.52,"819,939"
CL=F,"Jan 04, 2019",46.90,49.22,46.65,47.96,47.96,"817,277"
CL=F,"Jan 03, 2019",46.26,47.49,45.35,47.09,47.09,"788,718"
CL=F,"Jan 02, 2019",45.80,47.78,44.35,46.54,46.54,"850,480"
CL=F,"Dec 31, 2018",45.22,46.53,44.73,45.41,45.41,"476,970"
CL=F,"Dec 28, 2018",45.44,46.22,44.42,45.33,45.33,"564,385"
CL=F,"Dec 27, 2018",46.58,46.70,44.37,44.61,44.61,"665,590"
CL=F,"Dec 26, 2018",42.85,47.00,42.52,46.22,46.22,"698,408"
CL=F,"Dec 24, 2018",45.45,46.24,42.36,42.53,42.53,"415,859"
CL=F,"Dec 21, 2018",46.25,46.77,45.13,45.59,45.59,"694,003"
CL=F,"Dec 20, 2018",47.39,47.51,45.67,45.88,45.88,"794,130"
CL=F,"Dec 19, 2018",45.93,48.00,45.93,47.20,47.20,"817,721"
CL=F,"Dec 18, 2018",49.16,49.59,45.79,46.24,46.24,"120,101"
