date,market_cap,close,%_close,gain/loss
2021-07-04,650382046625.0,35394.0,1.912,664.0
2021-07-05,663571591568.0,33928.0,-4.142,-1466.0
2021-07-06,636061920915.0,34150.0,0.654,222.0
2021-07-07,640405812762.0,33932.0,-0.638,-218.0
2021-07-08,636246944189.0,32934.0,-2.941,-998.0
2021-07-09,617861633772.0,33971.0,3.149,1037.0
2021-07-10,637000370375.0,33705.0,-0.783,-266.0
2021-07-11,632185737683.0,34300.0,1.765,595.0
2021-07-12,643335853171.0,33263.0,-3.023,-1037.0
2021-07-13,623350567667.0,32676.0,-1.765,-587.0
2021-07-14,613002045101.0,32879.0,0.621,203.0
2021-07-15,616691143980.0,31726.0,-3.507,-1153.0
2021-07-16,595342431374.0,31400.0,-1.028,-326.0
2021-07-17,588495008676.0,31589.0,0.602,189.0
2021-07-18,592581931071.0,31919.0,1.045,330.0
2021-07-19,597872278369.0,30928.0,-3.105,-991.0
2021-07-20,580252472383.0,29972.0,-3.091,-956.0
2021-07-21,561743228117.0,32384.0,8.048,2412.0
2021-07-22,605357009417.0,32409.0,0.077,25.0
2021-07-23,607621607805.0,33456.0,3.231,1047.0
2021-07-24,627747173675.0,34214.0,2.266,758.0
2021-07-25,642012590041.0,35456.0,3.63,1242.0
2021-07-26,664681184169.0,37282.0,5.15,1826.0
2021-07-27,701921012035.0,39077.0,4.815,1795.0
2021-07-28,732311951673.0,40031.0,2.441,954.0
2021-07-29,751371299911.0,39978.0,-0.132,-53.0
2021-07-30,750407963580.0,41936.0,4.898,1958.0
2021-07-31,786531956384.0,41754.0,-0.434,-182.0
2021-08-01,786531956384.0,41754.0,0.0,-182.0
2021-08-02,747403845432.0,39279.0,-5.928,-636.0
2021-08-03,737440183776.0,38368.0,-2.319,-911.0
2021-08-04,720835141114.0,39752.0,3.607,1384.0
2021-08-05,747085951935.0,40825.0,2.699,1073.0
2021-08-06,768416417394.0,42802.0,4.843,1977.0
2021-08-07,803853127161.0,44648.0,4.313,1846.0
2021-08-08,838457486988.0,43753.0,-2.005,-895.0
2021-08-09,821704814136.0,46311.0,5.846,2558.0
2021-08-10,861862844506.0,45640.0,-1.449,-671.0
2021-08-11,854344953099.0,45652.0,0.026,12.0
2021-08-12,857660568377.0,44495.0,-2.534,-1157.0
2021-08-13,836054770492.0,47717.0,7.241,3222.0
2021-08-14,895084141169.0,47089.0,-1.316,-628.0
2021-08-15,886593539913.0,47025.0,-0.136,-64.0
2021-08-16,882888202378.0,46032.0,-2.112,-993.0
2021-08-17,866391335029.0,44534.0,-3.254,-1498.0
2021-08-18,836777066606.0,45015.0,1.08,481.0
2021-08-19,847143004615.0,46745.0,3.843,1730.0
2021-08-20,867650725473.0,49196.0,5.243,2451.0
2021-08-21,923013359587.0,48934.0,-0.533,-262.0
2021-08-22,920750216465.0,49251.0,0.648,317.0
2021-08-23,925630106451.0,49519.0,0.544,268.0
2021-08-24,930729196214.0,47941.0,-3.187,-1578.0
2021-08-25,902489541308.0,49003.0,2.215,1062.0
2021-08-26,921328247354.0,47229.0,-3.62,-1774.0
2021-08-27,887832142450.0,49083.0,3.926,1854.0
2021-08-28,922969799299.0,48937.0,-0.297,-146.0
2021-08-29,920017911099.0,48907.0,-0.061,-30.0
2021-08-30,919515378469.0,47124.0,-3.646,-1783.0
2021-08-31,885729258053.0,47335.0,0.448,211.0
2021-09-01,890014982635.0,48823.0,3.144,1488.0
2021-09-02,918058330851.0,49339.0,1.057,516.0
2021-09-03,927323146557.0,49935.0,1.208,596.0
2021-09-04,937295558515.0,50013.0,0.156,78.0
2021-09-05,940538655660.0,51696.0,3.365,1683.0
2021-09-06,971284117138.0,52740.0,2.019,1044.0
2021-09-07,992868819862.0,46995.0,-10.893,-5745.0
2021-09-08,881943904969.0,46085.0,-1.936,-910.0
2021-09-09,866885887154.0,46519.0,0.942,434.0
2021-09-10,876179332244.0,44803.0,-3.689,-1716.0
2021-09-11,842222636395.0,45196.0,0.877,393.0
2021-09-12,849828231596.0,46195.0,2.21,999.0
2021-09-13,869122611514.0,45140.0,-2.284,-1055.0
2021-09-14,848992511474.0,47135.0,4.42,1995.0
2021-09-15,886524004597.0,48187.0,2.232,1052.0
2021-09-16,906727769791.0,47879.0,-0.639,-308.0
2021-09-17,900990520812.0,47229.0,-1.358,-650.0
2021-09-18,892585184978.0,48267.0,2.198,1038.0
2021-09-19,907957032341.0,47371.0,-1.856,-896.0
2021-09-20,891560241243.0,42933.0,-9.369,-4438.0
2021-09-21,805826302811.0,40387.0,-5.93,-2546.0
2021-09-22,760802031651.0,43587.0,7.923,3200.0
2021-09-23,820460824051.0,44981.0,3.198,1394.0
2021-09-24,846615719474.0,42752.0,-4.955,-2229.0
2021-09-25,809772498813.0,42857.0,0.246,105.0
2021-09-26,808279417023.0,43337.0,1.12,480.0
2021-09-27,825341135636.0,42247.0,-2.515,-1090.0
2021-09-28,794889951096.0,41010.0,-2.928,-1237.0
2021-09-29,775534111089.0,41588.0,1.409,578.0
2021-09-30,782626384092.0,43859.0,5.461,2271.0
2021-10-01,827840965060.0,48182.0,9.857,4323.0
2021-10-02,906929641889.0,47778.0,-0.838,-404.0
2021-10-03,900582483713.0,48283.0,1.057,505.0
2021-10-04,910331395887.0,49260.0,2.023,977.0
2021-10-05,927812140868.0,51669.0,4.89,2409.0
2021-10-06,973040988103.0,55415.0,7.25,3746.0
2021-10-07,1044675252844.0,53895.0,-2.743,-1520.0
2021-10-08,1015246512239.0,54011.0,0.215,116.0
2021-10-09,1016650501581.0,55125.0,2.063,1114.0
2021-10-10,1038524699061.0,54712.0,-0.749,-413.0
2021-10-11,1030788036762.0,57573.0,5.229,2861.0
2021-10-12,1084736227838.0,56335.0,-2.15,-1238.0
2021-10-13,1061829863954.0,57488.0,2.047,1153.0
2021-10-14,1083366079899.0,57452.0,-0.063,-36.0
2021-10-15,1082900149763.0,61809.0,7.584,4357.0
2021-10-16,1164782155730.0,61166.0,-1.04,-643.0
2021-10-17,1153847028825.0,61584.0,0.683,418.0
2021-10-18,1160650121142.0,62018.0,0.705,434.0
2021-10-19,1173944883530.0,64518.0,4.031,2500.0
2021-10-20,1217582580303.0,66238.0,2.666,1720.0
2021-10-21,1250376460616.0,62541.0,-5.581,-3697.0
2021-10-22,1178926819141.0,61029.0,-2.418,-1512.0
2021-10-23,1151508584005.0,61572.0,0.89,543.0
2021-10-24,1161166467847.0,61173.0,-0.648,-399.0
2021-10-25,1153315262663.0,63228.0,3.359,2055.0
2021-10-26,1192131994833.0,60604.0,-4.15,-2624.0
2021-10-27,1143497865065.0,58641.0,-3.239,-1963.0
2021-10-28,1105754837661.0,60768.0,3.627,2127.0
2021-10-29,1145912030969.0,62283.0,2.493,1515.0
2021-10-30,1178047465292.0,61837.0,-0.716,-446.0
2021-10-31,1166423768410.0,61472.0,-0.59,-365.0
2021-11-01,1159841954948.0,61472.0,0.0,0.0
